spacecraft,headline,launching_location,time_for_next_space_flight
ULA,Vulcan VC4 | CRS SNC-6,"SLC-41, Cape Canaveral SFS, Florida, USA","NET January, 2026"
Roscosmos,Soyuz 2.1b/Fregat-M | Boomerang Phobos Mission,"Site 1S, Vostochny Cosmodrome, Russia","NET January, 2026"
CASC,Long March 5 | Chang'e 7,"LC-101, Wenchang Satellite Launch Center, China","NET January, 2026"
Roscosmos,Soyuz 2.1a/Fregat | RBKA n°1,"Site 1S, Vostochny Cosmodrome, Russia","NET January, 2026"
Roscosmos,Soyuz 2.1b/Fregat-M | Arktika-M n°4,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","NET January, 2026"
SpaceX,Falcon 9 Block 5 | SpaceX Crew-10,"LC-39A, Kennedy Space Center, Florida, USA","NET January, 2026"
SpaceX,Falcon 9 Block 5 | Arabsat 7A,"SLC-40 or LC-39A, Florida, USA","NET January, 2026"
NASA,SLS Block 1B | Artemis IV,"LC-39B, Kennedy Space Center, Florida, USA","NET March, 2026"
SpaceX,Falcon 9 Block 5 | SpaceX Crew-11,"LC-39A, Kennedy Space Center, Florida, USA","NET July, 2026"
Arianespace,Ariane 62 | PLATO (Exoplanet Telescope),"ELA-4, Guiana Space Centre, French Guiana, France","NET September, 2026"
ULA,Atlas V N22 | Starliner-4,"SLC-41, Cape Canaveral SFS, Florida, USA","NET September, 2026"
SpaceX,Falcon Heavy | Roman Space Telescope,"LC-39A, Kennedy Space Center, Florida, USA","NET October, 2026"
Roscosmos,Angara A5 | Oryol Crewed Test Flight,"Site 1A, Vostochny Cosmodrome, Russia","NET December, 2026"
CASC,Long March 5/YZ-2 | Solar Polar Orbit Observer,"LC-101, Wenchang Satellite Launch Center, China","NET January, 2027"
Roscosmos,Soyuz 2.1b/Fregat-M | Luna 28,"Site 1S, Vostochny Cosmodrome, Russia","NET January, 2027"
Roscosmos,Soyuz 2.1b/Fregat-M | Arktika-M n°5,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","NET January, 2027"
Roscosmos,Amur/Fregat-M | GVM-M (Demo Flight),"Site 2A, Vostochny Cosmodrome, Russia","NET January, 2027"
Arianespace,Vega C | CRISTAL,"ELV-1, Guiana Space Centre, French Guiana, France","NET January, 2027"
SpaceX,Falcon 9 Block 5 | SpaceX Crew-12,"LC-39A, Kennedy Space Center, Florida, USA","NET January, 2027"
NASA,SLS Block 1B | Artemis V,"LC-39B, Kennedy Space Center, Florida, USA","NET July, 2027"
SpaceX,Falcon 9 Block 5 | SpaceX Crew-13,"LC-39A, Kennedy Space Center, Florida, USA","NET July, 2027"
Arianespace,Ariane 64 | Earth Return Orbiter (ERO),"ELA-4, Guiana Space Centre, French Guiana, France","NET September, 2027"
ULA,Atlas V N22 | Starliner-5,"SLC-41, Cape Canaveral SFS, Florida, USA","NET September, 2027"
Arianespace,Ariane 62 | Comet Interceptor Mission,"ELA-4, Guiana Space Centre, French Guiana, France","NET January, 2028"
CASC,Long March 5/YZ-2 | Mars Samples Mission,"LC-101, Wenchang Satellite Launch Center, China","NET January, 2028"
Roscosmos,Soyuz 2.1b/Fregat-M | Luna 29,"Site 1S, Vostochny Cosmodrome, Russia","NET January, 2028"
Roscosmos,Soyuz 2.1a/Fregat | RBKA n°2,"Site 1S, Vostochny Cosmodrome, Russia","NET January, 2028"
SpaceX,Falcon 9 Block 5 | SpaceX Crew-14,"LC-39A, Kennedy Space Center, Florida, USA","NET January, 2028"
CASC,Long March 5 | Chang'e 8,"LC-101, Wenchang Satellite Launch Center, China","NET January, 2028"
ULA,Atlas V N22 | Starliner-6,"SLC-41, Cape Canaveral SFS, Florida, USA","NET September, 2028"
Roscosmos,Angara A5/Briz-M | Spektr-M (Millimetron),"Site 1A, Vostochny Cosmodrome, Russia","NET January, 2029"
Roscosmos,Angara A5/Persey | Venera D,"Vostochny Cosmodrome, Russia","NET November, 2029"
CASC,Long March 5 | Jupiter/Uranus Mission,"LC-101, Wenchang Satellite Launch Center, China","NET January, 2030"
Roscosmos,Angara A5/Briz-M | GAMMA-400,"Site 1A, Vostochny Cosmodrome, Russia","NET January, 2030"
Arianespace,Ariane 62 | Sentinel-5B,"ELA-4, Guiana Space Centre, French Guiana, France","NET January, 2031"
Arianespace,Ariane 64 | LISA (Gravitational Wave Observatory),"ELA-4, Guiana Space Centre, French Guiana, France","NET January, 2037"
